Barrio,Distrito,Categoria de zona,Precio terreno m2 (Place Analyzer),Precio departamento m2 (referencia),Plusvalia de zona (ganancia de capital en la venta),Rentabilidad de alquiler tipica de zona (renta sobre valor de compra),Ranking del estudio,Categoria de dato,Fuente,Fecha de actualizacion,Notas,Confianza,Vigencia
Santísima Trinidad,Santísima Trinidad,Emergente / Comercial,Sin dato específico de Place Analyzer,USD 900-1.300/m²,Mencionado como 'la zona emergente por excelencia',Sin dato específico,"Emergente, sin ranking numérico de Place Analyzer",C,"Inmovia ('7 mejores barrios para invertir'), Yulia Traidova",2026-08-17,"Da nombre a uno de los 6 distritos de Asunción, además de ser barrio propio.",LOW,CURRENT
Jara,D - pendiente de confirmar,Residencial consolidado,Sin dato específico de Place Analyzer,USD 987-1.125/m² (subió en el período relevado),Positiva — mencionado con suba de precio,Sin dato específico,Sin ranking numérico de Place Analyzer,C,Capadei,2026-08-17,,LOW,CURRENT
San Vicente,D - pendiente de confirmar,Residencial en desarrollo,Sin dato específico de Place Analyzer,USD 900-1.200/m²,"En desarrollo, precios accesibles",Sin dato específico,"Zona en desarrollo, no premium",C,Yulia Traidova,2026-08-17,,LOW,CURRENT
San Pablo,D - pendiente de confirmar,Residencial económico,Sin dato específico de Place Analyzer,USD 800-1.100/m²,"Económico, cerca del centro",Sin dato específico,Zona económica,C,Yulia Traidova,2026-08-17,,LOW,CURRENT
Vista Alegre,D - pendiente de confirmar,Residencial (más económica),Sin dato específico de Place Analyzer,Referencia tarifas reales ya relevadas (ver hoja Datos),Sin dato específico,Sin dato específico,Bajo (zona de referencia económica),C,"InfoCasas (tarifas reales), inferencia propia",2026-08-17,,LOW,CURRENT
Salvador del Mundo,D - pendiente de confirmar,Residencial / Mixta,Sin dato específico de Place Analyzer,Referencia tarifas reales ya relevadas (ver hoja Datos),Sin dato específico,Sin dato específico,Sin rankear,C,InfoCasas (tarifas reales),2026-08-17,,LOW,CURRENT
Zeballos Cué,D - pendiente de confirmar,Económico / En expansión,USD 101/m² (entre los 5 más económicos de la ciudad),USD 800-1.000/m²,"Potencial de valorización (zona en expansión, precio de partida bajo)",Sin dato específico,"62 (entre los más económicos de la ciudad — referencia de piso, no de techo)",C,"Place Analyzer/infonegocios.com.py, Yulia Traidova",2026-08-17,,LOW,CURRENT
Banco San Miguel,D - pendiente de confirmar,Económico,USD 129/m² (entre los 5 más económicos de la ciudad),Sin dato específico,Sin dato específico,Sin dato específico,63 (entre los más económicos de la ciudad),C,Place Analyzer/infonegocios.com.py,2026-08-17,,LOW,CURRENT
Santa Ana,D - pendiente de confirmar,Económico,USD 94/m² (el más económico de la ciudad),Sin dato específico,Sin dato específico,Sin dato específico,"68 (el más económico de la ciudad, según Place Analyzer — actualizado tras corrección a 68 barrios)",C,Place Analyzer/infonegocios.com.py,2026-08-17,,LOW,CURRENT
Jukyty,D - pendiente de confirmar,Económico,USD 142/m²,Sin dato específico,Sin dato específico,Sin dato específico,64 (entre los más económicos),C,Place Analyzer/infonegocios.com.py,2026-08-17,No estaba en la transcripción original del plano de 66 barrios — hipótesis razonable (no confirmada) de que sea uno de los 2 barrios faltantes tras la corrección a 68.,LOW,CURRENT
San Cayetano,D - pendiente de confirmar,Económico,USD 113/m²,Sin dato específico,Sin dato específico,Sin dato específico,65 (entre los más económicos),C,Place Analyzer/infonegocios.com.py,2026-08-17,"No estaba en la transcripción original del plano de 66 barrios — misma hipótesis que Jukyty, no confirmada.",LOW,CURRENT
